"User Institution ID","User Institution Name","latitude","longitude","active_person_count","total_ace","running_job_count"
"586","U Pittsburgh - University of Pittsburgh","40.4443490000","-79.9532050000","91","4543254.101940233","2"
"587","U South Carolina - University of South Carolina","33.9999490000","-81.0274010000","16","5055303.138062262","1"
"588","College of Wm & Mary - College of William and Mary","37.2707890000","-76.7156670000","2","40761.494790691","1"
"591","U Michigan - University of Michigan","42.2764260000","-83.7391640000","147","47465151.787385364","1"
"593","ND State U - North Dakota State University","46.8915820000","-96.8002520000","1","1286.418366710","4"
"594","U Illinois, Springfield - University of Illinois at Springfield","39.7870030000","-89.6572150000","2","2044.918585064","1"
"598","Florida Intl U - Florida International University","25.7558560000","-80.3722350000","23","1064343.876723438","2"
"604","UT San Antonio - University of Texas at San Antonio","29.5845530000","-98.6124150000","1","127.768419739","3"
"608","U San Diego - University of San Diego","32.7710640000","-117.1907380000","6","98016.594921704","2"
"611","UT Hlth Sci Ctr Houston - University of Texas Health Science Center at Houston","29.7030500000","-95.4031990000","2","13520.244556740","1"
"612","U Houston-Clear Lake - University of Houston-Clear Lake","29.5785390000","-95.1041540000","1","85.844407012","2"
"615","BYU - Brigham Young University","40.2485840000","-111.6487490000","2","817486.805165637","1"
"616","U Akron - University of Akron","41.0776710000","-81.5137940000","4","2406.887516376","1"
"617","U Houston-Downtown - University of Houston-Downtown","29.7661090000","-95.3591440000","2","807.037244993","1"
"618","U Kansas - University of Kansas","38.9584580000","-95.2476260000","6","269379.998752261","1"
"619","U Alaska, Fairbanks - University of Alaska, Fairbanks","64.8551010000","-147.8242400000","2","22161.706906232","7"
"621","U District of Columbia - University of the District of Columbia","38.9433880000","-77.0631970000","3","4.616632353","1"
"634","BNL - Brookhaven National Laboratory","40.8733460000","-72.8720570000","1","711.959573273","3"
"644","IBM - IBM","41.6539880000","-73.9362690000","1","392971.489175868","2"
